click_id,campaign_id,creative_id,platform,click_timestamp,cost_per_click,raw_utm_url,conversion_value
427928,1013,5604,meta,2025-12-04T02:57:57Z,8.1,https://valuetainment.com/?utm_campaign=pat_lib_&utm_medium=cpc&utm_source=meta,
964170,1011,5718,Meta,2025-12-04 14:17:08,9.06,https://valuetainment.com/?utm_campaign=consult dfy retgt&utm_medium=Paid_Social&utm_source=google,
566794,1002,5223,TikTok,12/27/2025 22:26,5.37,https://valuetainment.com/?utm_medium=ppc&utm_campaign=BRAND_GS_PROMO&utm_source=facebook,170.17
398752,1011,5203,GOOGLE,11/20/2025 09:30,5.36,https://valuetainment.com/?utm_campaign= consult_dfy_retgt &utm_medium=CPC&utm_source=TikTok,
616889,1008,5025,META,2026-03-09T12:59:05Z,6.31,https://valuetainment.com/?utm_source=facebook&utm_campaign= brand_fx_sponsor &utm_medium=Paid_Social,
298041,1013,5142,Meta,10/06/2025 12:53,0.72,https://valuetainment.com/?utm_medium=cpc&utm_source=meta&utm_campaign=Pat_lib_bundle,553.09
429719,1005,5225,META,11/23/2025 19:43,10.22,https://valuetainment.com/?utm_source=TikTok&utm_campaign=pbd--retarget--warm!!&utm_medium=Paid_Social,
889137,1015,5089,Meta,2025-10-19T10:01:30Z,5.4,https://valuetainment.com/?utm_campaign=pbdytremarketing&utm_source=facebook,
785010,1001,5828,GOOGLE,01/24/2026 21:40,2.2,https://valuetainment.com/?utm_source=facebook&utm_campaign=PBD_POD_PROSP_Q1&utm_medium=cpc,
174323,1008,5558,Meta,2025-11-03T15:23:29Z,7.6,https://valuetainment.com/?utm_campaign=Brand_fx_sponsor&utm_medium=ppc&utm_source=Google,3.68
459909,1011,5558,google,2026-01-07T06:44:43Z,10.82,https://valuetainment.com/?utm_source=facebook&utm_medium=CPC&utm_campaign=Consult_dfy_retgt,
367870,1008,5654,Google,02/23/2026 18:15,2.34,https://valuetainment.com/?utm_campaign=brand_fx_sponsor&utm_medium=CPC&utm_source=meta,657.59
652796,1012,5754,meta,2026-04-26T09:02:24Z,1.0,https://valuetainment.com/?utm_medium=paid&utm_source=Google&utm_campaign=VT_SUMMIT_VIP,
356428,1011,5030,meta,2026-02-05 06:12:16,9.65,https://valuetainment.com/?utm_campaign=consult-dfy-retgt&utm_medium=cpc&utm_source=Google,683.55
462486,1005,5250,Meta,11/20/2025 07:17,10.31,https://valuetainment.com/?utm_campaign= pbd_retarget_warm &utm_source=facebook,465.5
567595,1007,5603,google,2025-11-22T16:48:35Z,1.81,https://valuetainment.com/?utm_source=META&utm_medium=cpc&utm_campaign=vt_summit_l@stc@ll,738.41
250656,1013,5281,META,2025-10-02T00:47:53Z,4.82,https://valuetainment.com/?utm_campaign=pat--lib--bundle!!&utm_source=tiktok,
628486,1002,5223,Meta,03/26/2026 12:22,3.3,https://valuetainment.com/?utm_source=meta&utm_campaign=brand-gs-promo&utm_medium=cpc,430.38
257981,1009,5654,META,2026-03-23T12:15:54Z,2.75,https://valuetainment.com/?utm_source=tik_tok&utm_campaign=le@dership_101_ev&utm_medium=ppc,696.86
267545,1007,5828,Meta,2025-11-02T13:24:38Z,,https://valuetainment.com/?utm_source=google&utm_medium=Paid_Social&utm_campaign=vt_summit_lastcall,47.37
114895,1012,5006,meta,2026-02-06T01:01:51Z,0.67,https://valuetainment.com/?utm_source=facebook&utm_medium=ppc&utm_campaign=Vt_summit_vip,645.14
947752,1011,5027,META ,11/11/2025 13:23,7.18,https://valuetainment.com/?utm_source=tik_tok&utm_campaign=consult-dfy-retgt&utm_medium=ppc,
212418,1001,5665,meta,2026-05-28T00:09:47Z,8.78,https://valuetainment.com/?utm_campaign=pbd_pod_prosp_q1&utm_medium=ppc&utm_source=Google,
806917,1008,5089,Meta,2026-04-02T03:01:32Z,4.51,https://valuetainment.com/?utm_campaign=brand_fx_sponsor&utm_source=facebook,81.61
401958,1013,5777,meta,05/04/2026 08:10,3.45,https://valuetainment.com/?utm_source=facebook&utm_campaign=pat--lib--bundle!!&utm_medium=CPC,306.98
760685,1007,5032,google,02/17/2026 13:23,7.33,https://valuetainment.com/?utm_medium=ppc&utm_source=Google&utm_campaign=vt_summit_lastcall,626.74
621627,1011,5432,google,2025-12-09 21:02:14,12.39,https://valuetainment.com/?utm_campaign=c0nsult_dfy_retgt&utm_medium=Paid_Social,5.37
234037,1003,5692,meta,2026-04-29T09:52:09Z,4.78,https://valuetainment.com/?utm_medium=paid&utm_source=tiktok&utm_campaign=vt summit earlybird,
896723,1008,5228,tiktok,03/22/2026 06:35,12.35,https://valuetainment.com/?utm_source=TikTok&utm_campaign=Brand_fx_sponsor,236.04
477880,1015,5142,tiktok,2025-10-12 20:52:10,3.75,https://valuetainment.com/?utm_source=TikTok&utm_campaign= pbd_yt_remarketing &utm_medium=CPC,404.1
642193,1009,5225,meta,2026-01-08 09:46:06,6.1,https://valuetainment.com/?utm_campaign= leadership_101_ev &utm_source=tiktok&utm_medium=Paid_Social,431.33
